# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2539.1233	593
0.482 0.60	55.3529	10.2465	45
0.308 0.46	215.057	151.6706	63
0.094 0.06	31475.4	40320.6475	8845
0.224 0.69	513.623	210.1317	303
0.543 0.72	35.978	9.6292	26
0.273 0.20	630.665	197.7523	433
0.298 0.78	187.725	165.5954	22
0.156 0.12	4336.23	2975.0902	1361
0.859 0.43	34.5404	9.5931	25
0.787 0.46	33.2727	9.6968	24
0.903 0.99	10.478	9.5738	1
0.087 0.45	18601.4	37389.8223	18788
0.098 0.46	11726.1	35278.8216	23553
0.055 0.87	110759	403947.762	293189
0.162 0.59	1704.27	2667.6887	963
0.041 0.99	356278	420798.0224	64520
0.55 0.34	83.8325	11.4118	72
0.465 0.64	57.1501	10.9104	46
0.765 0.04	15169.3	32757.0752	17588
0.69 0.30	80.114	13.0508	67
0.77 0.96	14.0236	8.9861	5
0.514 0.42	71.3328	10.1343	61
0.099 0.02	167678	427996.148	260318
0.542 0.31	103.427	123.406	20
0.806 0.68	18.6178	8.682	10
0.776 0.70	18.7983	8.3197	10
0.027 0.21	1.91206e+06	4980603.9355	3068544
0.516 0.12	749.84	246.4285	503
0.032 0.92	957834	464488.3993	493346
0.998 0.19	187.882	163.7159	24
0.518 0.39	77.463	10.4745	67
0.19 0.06	7034.81	3219.0622	3816
0.093 0.00	3.3273e+06	4532725.2913	1205425
0.065 0.85	57094.6	38172.2437	18922
0.048 0.75	190578	453430.11	262852
0.167 0.17	2600.82	2627.5225	27
0.07 0.03	138305	463831.8759	325527
0.944 0.1	268.598	243.9617	25
0.408 0.83	69.0706	13.0468	56
0.481 0.21	237.887	172.0667	66
0.52 0.60	46.2721	9.4878	37
0.276 0.89	234.11	151.8719	82
0.825 0.79	15.1166	8.2364	7
0.376 0.20	343.707	180.1211	164
0.715 0.37	53.4468	10.8693	43
0.403 0.58	88.1067	12.3598	76
0.119 0.94	5286.02	2493.4723	2793
0.119 0.94	5286.02	2493.4723	2793
0.305 0.07	4033.6	2875.1346	1158
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2120.642	174
0.482 0.60	55.3529	10.7324	45
0.308 0.46	215.057	165.7424	49
0.094 0.06	31475.4	43313.3261	11838
0.224 0.69	513.623	210.9895	303
0.543 0.72	35.978	9.3748	27
0.273 0.20	630.665	177.83	453
0.298 0.78	187.725	161.7198	26
0.156 0.12	4336.23	2583.6104	1753
0.859 0.43	34.5404	10.3739	24
0.787 0.46	33.2727	9.001	24
0.903 0.99	10.478	9.6238	1
0.087 0.45	18601.4	36307.3687	17706
0.098 0.46	11726.1	34204.6488	22479
0.055 0.87	110759	407457.0158	296698
0.162 0.59	1704.27	2659.3843	955
0.041 0.99	356278	400111.4404	43833
0.55 0.34	83.8325	12.6674	71
0.465 0.64	57.1501	11.1288	46
0.765 0.04	15169.3	29350.6524	14181
0.69 0.30	80.114	13.3993	67
0.77 0.96	14.0236	9.0834	5
0.514 0.42	71.3328	11.3046	60
0.099 0.02	167678	515195.4725	347517
0.542 0.31	103.427	137.1985	34
0.806 0.68	18.6178	8.0438	11
0.776 0.70	18.7983	7.9029	11
0.027 0.21	1.91206e+06	5073392.4216	3161332
0.516 0.12	749.84	236.5857	513
0.032 0.92	957834	456178.5739	501655
0.998 0.19	187.882	168.3569	20
0.518 0.39	77.463	11.7869	66
0.19 0.06	7034.81	3094.1301	3941
0.093 0.00	3.3273e+06	5866758.5674	2539459
0.065 0.85	57094.6	38848.5113	18246
0.048 0.75	190578	464875.6497	274298
0.167 0.17	2600.82	2204.6428	396
0.07 0.03	138305	565044.5344	426740
0.944 0.1	268.598	208.1791	60
0.408 0.83	69.0706	12.1425	57
0.481 0.21	237.887	179.2386	59
0.52 0.60	46.2721	9.7892	36
0.276 0.89	234.11	157.0388	77
0.825 0.79	15.1166	8.5475	7
0.376 0.20	343.707	178.7388	165
0.715 0.37	53.4468	10.793	43
0.403 0.58	88.1067	13.2199	75
0.119 0.94	5286.02	2601.7999	2684
0.119 0.94	5286.02	2601.7999	2684
0.305 0.07	4033.6	2711.1922	1322
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2895.4484	949
0.482 0.60	55.3529	11.3307	44
0.308 0.46	215.057	153.8357	61
0.094 0.06	31475.4	49556.2436	18081
0.224 0.69	513.623	188.1079	326
0.543 0.72	35.978	10.0905	26
0.273 0.20	630.665	213.0421	418
0.298 0.78	187.725	144.9855	43
0.156 0.12	4336.23	3487.5862	849
0.859 0.43	34.5404	9.9587	25
0.787 0.46	33.2727	9.9661	23
0.903 0.99	10.478	9.0972	1
0.087 0.45	18601.4	37120.6963	18519
0.098 0.46	11726.1	34953.5767	23227
0.055 0.87	110759	428992.4975	318233
0.162 0.59	1704.27	2485.0956	781
0.041 0.99	356278	459104.9921	102827
0.55 0.34	83.8325	13.0483	71
0.465 0.64	57.1501	11.3261	46
0.765 0.04	15169.3	30563.3467	15394
0.69 0.30	80.114	12.9942	67
0.77 0.96	14.0236	9.1417	5
0.514 0.42	71.3328	12.2765	59
0.099 0.02	167678	528079.8417	360402
0.542 0.31	103.427	136.7864	33
0.806 0.68	18.6178	9.0683	10
0.776 0.70	18.7983	9.0898	10
0.027 0.21	1.91206e+06	5484725.3378	3572665
0.516 0.12	749.84	225.489	524
0.032 0.92	957834	484070.4465	473764
0.998 0.19	187.882	163.4749	24
0.518 0.39	77.463	12.5701	65
0.19 0.06	7034.81	3644.049	3391
0.093 0.00	3.3273e+06	5617389.2398	2290089
0.065 0.85	57094.6	40666.1215	16428
0.048 0.75	190578	448528.8969	257951
0.167 0.17	2600.82	3047.9866	447
0.07 0.03	138305	574821.8675	436517
0.944 0.1	268.598	237.3785	31
0.408 0.83	69.0706	11.2687	58
0.481 0.21	237.887	171.4525	66
0.52 0.60	46.2721	10.907	35
0.276 0.89	234.11	149.7507	84
0.825 0.79	15.1166	8.9625	6
0.376 0.20	343.707	185.574	158
0.715 0.37	53.4468	11.3963	42
0.403 0.58	88.1067	12.5642	76
0.119 0.94	5286.02	2993.2134	2293
0.119 0.94	5286.02	2993.2134	2293
0.305 0.07	4033.6	2915.0368	1119
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2712.5601	766
0.482 0.60	55.3529	10.851	45
0.308 0.46	215.057	165.0953	50
0.094 0.06	31475.4	43015.7097	11540
0.224 0.69	513.623	193.7875	320
0.543 0.72	35.978	10.7906	25
0.273 0.20	630.665	211.4741	419
0.298 0.78	187.725	148.5115	39
0.156 0.12	4336.23	3167.0827	1169
0.859 0.43	34.5404	9.9535	25
0.787 0.46	33.2727	9.8349	23
0.903 0.99	10.478	8.9407	2
0.087 0.45	18601.4	34965.3256	16364
0.098 0.46	11726.1	33210.4954	21484
0.055 0.87	110759	409400.4062	298641
0.162 0.59	1704.27	2523.4913	819
0.041 0.99	356278	411626.9784	55349
0.55 0.34	83.8325	13.271	71
0.465 0.64	57.1501	11.2183	46
0.765 0.04	15169.3	30299.2676	15130
0.69 0.30	80.114	12.2765	68
0.77 0.96	14.0236	8.9751	5
0.514 0.42	71.3328	11.9171	59
0.099 0.02	167678	454720.565	287043
0.542 0.31	103.427	143.5234	40
0.806 0.68	18.6178	9.0949	10
0.776 0.70	18.7983	9.231	10
0.027 0.21	1.91206e+06	4823741.7287	2911682
0.516 0.12	749.84	226.6082	523
0.032 0.92	957834	448550.8208	509283
0.998 0.19	187.882	164.3122	24
0.518 0.39	77.463	12.5458	65
0.19 0.06	7034.81	3274.0069	3761
0.093 0.00	3.3273e+06	4810553.2559	1483253
0.065 0.85	57094.6	39268.133	17826
0.048 0.75	190578	439180.6881	248603
0.167 0.17	2600.82	2839.5664	239
0.07 0.03	138305	491453.4322	353148
0.944 0.1	268.598	229.5992	39
0.408 0.83	69.0706	11.4937	58
0.481 0.21	237.887	180.6885	57
0.52 0.60	46.2721	10.5793	36
0.276 0.89	234.11	144.4652	90
0.825 0.79	15.1166	8.9845	6
0.376 0.20	343.707	190.5041	153
0.715 0.37	53.4468	10.6843	43
0.403 0.58	88.1067	11.9786	76
0.119 0.94	5286.02	2769.1715	2517
0.119 0.94	5286.02	2769.1715	2517
0.305 0.07	4033.6	2724.634	1309
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2517.0272	571
0.482 0.60	55.3529	9.8563	45
0.308 0.46	215.057	121.0924	94
0.094 0.06	31475.4	38638.1973	7163
0.224 0.69	513.623	207.7557	306
0.543 0.72	35.978	10.8734	25
0.273 0.20	630.665	189.8602	441
0.298 0.78	187.725	157.8665	30
0.156 0.12	4336.23	2956.7485	1379
0.859 0.43	34.5404	9.6358	25
0.787 0.46	33.2727	9.5987	24
0.903 0.99	10.478	7.3827	3
0.087 0.45	18601.4	38004.0322	19403
0.098 0.46	11726.1	35899.046	24173
0.055 0.87	110759	409893.6058	299135
0.162 0.59	1704.27	2702.0073	998
0.041 0.99	356278	465793.5844	109516
0.55 0.34	83.8325	11.8407	72
0.465 0.64	57.1501	10.5049	47
0.765 0.04	15169.3	28869.607	13700
0.69 0.30	80.114	13.6676	66
0.77 0.96	14.0236	8.6902	5
0.514 0.42	71.3328	9.7572	62
0.099 0.02	167678	403237.9202	235560
0.542 0.31	103.427	128.6273	25
0.806 0.68	18.6178	9.0337	10
0.776 0.70	18.7983	9.3731	9
0.027 0.21	1.91206e+06	4780814.1741	2868754
0.516 0.12	749.84	244.8687	505
0.032 0.92	957834	458814.2284	499020
0.998 0.19	187.882	169.8581	18
0.518 0.39	77.463	10.3167	67
0.19 0.06	7034.81	3151.0142	3884
0.093 0.00	3.3273e+06	4211066.7012	883767
0.065 0.85	57094.6	39330.4881	17764
0.048 0.75	190578	450444.2681	259866
0.167 0.17	2600.82	2625.2476	24
0.07 0.03	138305	428821.6592	290517
0.944 0.1	268.598	220.6398	48
0.408 0.83	69.0706	12.291	57
0.481 0.21	237.887	175.8315	62
0.52 0.60	46.2721	9.6603	37
0.276 0.89	234.11	151.7932	82
0.825 0.79	15.1166	9.3978	6
0.376 0.20	343.707	177.5836	166
0.715 0.37	53.4468	11.4365	42
0.403 0.58	88.1067	10.5479	78
0.119 0.94	5286.02	3030.8855	2255
0.119 0.94	5286.02	3030.8855	2255
0.305 0.07	4033.6	2841.3635	1192
# (E   E)	SEsp	Salida	   Error
0.187 0.16	1946.49	2365.7847	419
0.482 0.60	55.3529	10.8569	44
0.308 0.46	215.057	154.8314	60
0.094 0.06	31475.4	34511.3327	3036
0.224 0.69	513.623	191.7388	322
0.543 0.72	35.978	9.6181	26
0.273 0.20	630.665	190.1299	441
0.298 0.78	187.725	144.7412	43
0.156 0.12	4336.23	2699.5201	1637
