# (E   E)	SEsp	Salida	Error
0.187 0.168	1946.49	255	1691
0.482 0.603	55.3529	15	40
0.308 0.468	215.057	63	152
0.094 0.063	31475.4	4095	27380
0.224 0.693	513.623	63	451
0.543 0.729	35.978	15	21
0.273 0.206	630.665	127	504
0.298 0.784	187.725	31	157
0.156 0.121	4336.23	255	4081
0.859 0.432	34.5404	7	28
0.787 0.465	33.2727	7	26
0.903 0.993	10.478	7	3
0.087 0.454	18601.4	1023	17578
0.098 0.464	11726.1	511	11215
0.055 0.873	110759	4095	106664
0.162 0.595	1704.27	127	1577
0.041 0.996	356278	8191	348087
0.55 0.349	83.8325	15	69
0.465 0.644	57.1501	15	42
0.765 0.041	15169.3	1023	14146
0.69 0.308	80.114	15	65
0.77 0.963	14.0236	7	7
0.514 0.421	71.3328	15	56
0.099 0.022	167678	16383	151295
0.542 0.311	103.427	31	72
0.806 0.682	18.6178	7	12
0.776 0.709	18.7983	7	12
0.027 0.215	1.91206e+06	16383	1895677
0.516 0.125	749.84	63	687
0.032 0.923	957834	16383	941451
0.998 0.194	187.882	31	157
0.518 0.392	77.463	15	62
0.19 0.069	7034.81	511	6524
0.093 0.007	3.3273e+06	65535	3261765
0.065 0.858	57094.6	2047	55048
0.048 0.755	190578	4095	186483
0.167 0.171	2600.82	255	2346
0.07 0.033	138305	16383	121922
0.944 0.17	268.598	63	206
0.408 0.838	69.0706	15	54
0.481 0.214	237.887	63	175
0.52 0.609	46.2721	15	31
0.276 0.899	234.11	31	203
0.825 0.792	15.1166	7	8
0.376 0.209	343.707	63	281
0.715 0.375	53.4468	15	38
0.403 0.586	88.1067	31	57
0.119 0.945	5286.02	511	4775
0.119 0.945	5286.02	511	4775
0.305 0.072	4033.6	255	3779
# (E   E)	SEsp	Salida	Error
0.187 0.168	1946.49	127	1819
0.482 0.603	55.3529	15	40
0.308 0.468	215.057	63	152
0.094 0.063	31475.4	4095	27380
0.224 0.693	513.623	63	451
0.543 0.729	35.978	15	21
0.273 0.206	630.665	63	568
0.298 0.784	187.725	31	157
0.156 0.121	4336.23	255	4081
0.859 0.432	34.5404	15	20
0.787 0.465	33.2727	15	18
0.903 0.993	10.478	7	3
0.087 0.454	18601.4	1023	17578
0.098 0.464	11726.1	511	11215
0.055 0.873	110759	4095	106664
0.162 0.595	1704.27	127	1577
0.041 0.996	356278	8191	348087
0.55 0.349	83.8325	31	53
0.465 0.644	57.1501	15	42
0.765 0.041	15169.3	1023	14146
0.69 0.308	80.114	15	65
0.77 0.963	14.0236	7	7
0.514 0.421	71.3328	15	56
0.099 0.022	167678	16383	151295
0.542 0.311	103.427	31	72
0.806 0.682	18.6178	7	12
0.776 0.709	18.7983	7	12
0.027 0.215	1.91206e+06	16383	1895677
0.516 0.125	749.84	63	687
0.032 0.923	957834	16383	941451
0.998 0.194	187.882	31	157
0.518 0.392	77.463	31	46
0.19 0.069	7034.81	511	6524
0.093 0.007	3.3273e+06	65535	3261765
0.065 0.858	57094.6	2047	55048
0.048 0.755	190578	4095	186483
0.167 0.171	2600.82	255	2346
0.07 0.033	138305	16383	121922
